Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
VLO,VALERO ENERGY CORPORATION,76.98,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
XOM,EXXON MOBIL CORPORATION,54.37,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
MPC,MARATHON PETROLEUM CORPORATION,54.62,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
OXY,OCCIDENTAL PETROLEUM CORPORATION,26.61,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
CVX,CHEVRON CORPORATION,100,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
PSX,PHILLIPS 66,83.05,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
COP,CONOCOPHILLIPS,52.01,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
MRO,MARATHON OIL CORPORATION,11.1,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
BP,BP P.L.C.,24.41,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
PXD,PIONEER NATURAL RESOURCES COMPANY,148.57,2/26/2021,2021Q1,10231.46,30932.37,13331.27,795.61,3811.15,-8,-10.12385321,7.134171908,-17,-27.18518519,-17.15209581,,2,2021,48.69,13.5,8.19,1.26,0.11,,65.86,61.55,-0.135991
